API_Gravity_60F,Relative_Density_60F,Density_15C_kg_per_m3
0.0,1.076,1075.3
0.1,1.0752,1074.5
0.2,1.0744,1073.7
0.3,1.0736,1072.9
0.4,1.0728,1072.1
0.5,1.072,1071.3
0.6,1.0712,1070.5
0.7,1.0703,1069.7
0.8,1.0695,1068.8
0.9,1.0687,1068.0
1.0,1.0679,1067.2
1.1,1.0671,1066.4
1.2,1.0663,1065.6
1.3,1.0655,1064.8
1.4,1.0647,1064.0
1.5,1.0639,1063.2
1.6,1.0631,1062.4
1.7,1.0623,1061.6
1.8,1.0615,1060.8
1.9,1.0607,1060.0
2.0,1.0599,1059.2
2.1,1.0591,1058.5
2.2,1.0583,1057.7
2.3,1.0575,1056.9
2.4,1.0568,1056.1
2.5,1.056,1055.3
2.6,1.0552,1054.5
2.7,1.0544,1053.7
2.8,1.0536,1052.9
2.9,1.0528,1052.2
3.0,1.052,1051.4
3.1,1.0513,1050.6
3.2,1.0505,1049.8
3.3,1.0497,1049.0
3.4,1.0489,1048.3
3.5,1.0481,1047.5
3.6,1.0474,1046.7
3.7,1.0466,1045.9
3.8,1.0458,1045.2
3.9,1.0451,1044.4
4.0,1.0443,1043.6
4.1,1.0435,1042.8
4.2,1.0427,1042.1
4.3,1.042,1041.3
4.4,1.0412,1040.5
4.5,1.0404,1039.8
4.6,1.0397,1039.0
4.7,1.0389,1038.3
4.8,1.0382,1037.5
4.9,1.0374,1036.7
5.0,1.0366,1036.0
5.1,1.0359,1035.2
5.2,1.0351,1034.5
5.3,1.0344,1033.7
5.4,1.0336,1033.0
5.5,1.0328,1032.2
5.6,1.0321,1031.4
5.7,1.0313,1030.7
5.8,1.0306,1029.9
5.9,1.0298,1029.2
6.0,1.0291,1028.4
6.1,1.0283,1027.7
6.2,1.0276,1027.0
6.3,1.0269,1026.2
6.4,1.0261,1025.5
6.5,1.0254,1024.7
6.6,1.0246,1024.0
6.7,1.0239,1023.2
6.8,1.0231,1022.5
6.9,1.0224,1021.8
7.0,1.0217,1021.0
7.1,1.0209,1020.3
7.2,1.0202,1019.6
7.3,1.0195,1018.8
7.4,1.0187,1018.1
7.5,1.018,1017.4
7.6,1.0173,1016.6
7.7,1.0165,1015.9
7.8,1.0158,1015.2
7.9,1.0151,1014.4
8.0,1.0143,1013.7
8.1,1.0136,1013.0
8.2,1.0129,1012.3
8.3,1.0122,1011.5
8.4,1.0114,1010.8
8.5,1.0107,1010.1
8.6,1.01,1009.4
8.7,1.0093,1008.6
8.8,1.0086,1007.9
8.9,1.0078,1007.2
9.0,1.0071,1006.5
9.1,1.0064,1005.8
9.2,1.0057,1005.1
9.3,1.005,1004.4
9.4,1.0043,1003.6
9.5,1.0035,1002.9
9.6,1.0028,1002.2
9.7,1.0021,1001.5
9.8,1.0014,1000.8
9.9,1.0007,1000.1
10.0,1.0,999.4
10.1,0.9993,998.7
10.2,0.9986,998.0
10.3,0.9979,997.3
10.4,0.9972,996.6
10.5,0.9965,995.9
10.6,0.9958,995.2
10.7,0.9951,994.5
10.8,0.9944,993.8
10.9,0.9937,993.1
11.0,0.993,992.4
11.1,0.9923,991.7
11.2,0.9916,991.0
11.3,0.9909,990.3
11.4,0.9902,989.6
11.5,0.9895,988.9
11.6,0.9888,988.2
11.7,0.9881,987.5
11.8,0.9874,986.8
11.9,0.9868,986.2
12.0,0.9861,985.5
12.1,0.9854,984.8
12.2,0.9847,984.1
12.3,0.984,983.4
12.4,0.9833,982.7
12.5,0.9826,982.0
12.6,0.982,981.4
12.7,0.9813,980.7
12.8,0.9806,980.0
12.9,0.9799,979.3
13.0,0.9792,978.6
13.1,0.9786,978.0
13.2,0.9779,977.3
13.3,0.9772,976.6
13.4,0.9765,975.9
13.5,0.9759,975.3
13.6,0.9752,974.6
13.7,0.9745,973.9
13.8,0.9738,973.3
13.9,0.9732,972.6
14.0,0.9725,971.9
14.1,0.9718,971.3
14.2,0.9712,970.6
14.3,0.9705,969.9
14.4,0.9698,969.3
14.5,0.9692,968.6
14.6,0.9685,967.9
14.7,0.9679,967.3
14.8,0.9672,966.6
14.9,0.9665,966.0
15.0,0.9659,965.3
15.1,0.9652,964.6
15.2,0.9646,964.0
15.3,0.9639,963.3
15.4,0.9632,962.7
15.5,0.9626,962.0
15.6,0.9619,961.4
15.7,0.9613,960.7
15.8,0.9606,960.1
15.9,0.96,959.4
16.0,0.9593,958.8
16.1,0.9587,958.1
16.2,0.958,957.5
16.3,0.9574,956.8
16.4,0.9567,956.2
16.5,0.9561,955.5
16.6,0.9554,954.9
16.7,0.9548,954.2
16.8,0.9541,953.6
16.9,0.9535,952.9
17.0,0.9529,952.3
17.1,0.9522,951.7
17.2,0.9516,951.0
17.3,0.9509,950.4
17.4,0.9503,949.7
17.5,0.9497,949.1
17.6,0.949,948.5
17.7,0.9484,947.8
17.8,0.9478,947.2
17.9,0.9471,946.6
18.0,0.9465,945.9
18.1,0.9459,945.3
18.2,0.9452,944.7
18.3,0.9446,944.0
18.4,0.944,943.4
18.5,0.9433,942.8
18.6,0.9427,942.2
18.7,0.9421,941.5
18.8,0.9415,940.9
18.9,0.9408,940.3
19.0,0.9402,939.7
19.1,0.9396,939.0
19.2,0.939,938.4
19.3,0.9383,937.8
19.4,0.9377,937.2
19.5,0.9371,936.5
19.6,0.9365,935.9
19.7,0.9358,935.3
19.8,0.9352,934.7
19.9,0.9346,934.1
20.0,0.934,933.5
20.1,0.9334,932.8
20.2,0.9328,932.2
20.3,0.9321,931.6
20.4,0.9315,931.0
20.5,0.9309,930.4
20.6,0.9303,929.8
20.7,0.9297,929.2
20.8,0.9291,928.6
20.9,0.9285,927.9
21.0,0.9279,927.3
21.1,0.9273,926.7
21.2,0.9267,926.1
21.3,0.926,925.5
21.4,0.9254,924.9
21.5,0.9248,924.3
21.6,0.9242,923.7
21.7,0.9236,923.1
21.8,0.923,922.5
21.9,0.9224,921.9
22.0,0.9218,921.3
22.1,0.9212,920.7
22.2,0.9206,920.1
22.3,0.92,919.5
22.4,0.9194,918.9
22.5,0.9188,918.3
22.6,0.9182,917.7
22.7,0.9176,917.1
22.8,0.917,916.5
22.9,0.9165,915.9
23.0,0.9159,915.3
23.1,0.9153,914.7
23.2,0.9147,914.2
23.3,0.9141,913.6
23.4,0.9135,913.0
23.5,0.9129,912.4
23.6,0.9123,911.8
23.7,0.9117,911.2
23.8,0.9111,910.6
23.9,0.9106,910.0
24.0,0.91,909.5
24.1,0.9094,908.9
24.2,0.9088,908.3
24.3,0.9082,907.7
24.4,0.9076,907.1
24.5,0.9071,906.5
24.6,0.9065,906.0
24.7,0.9059,905.4
24.8,0.9053,904.8
24.9,0.9047,904.2
25.0,0.9042,903.6
25.1,0.9036,903.1
25.2,0.903,902.5
25.3,0.9024,901.9
25.4,0.9018,901.3
25.5,0.9013,900.8
25.6,0.9007,900.2
25.7,0.9001,899.6
25.8,0.8996,899.1
25.9,0.899,898.5
26.0,0.8984,897.9
26.1,0.8978,897.3
26.2,0.8973,896.8
26.3,0.8967,896.2
26.4,0.8961,895.6
26.5,0.8956,895.1
26.6,0.895,894.5
26.7,0.8944,893.9
26.8,0.8939,893.4
26.9,0.8933,892.8
27.0,0.8927,892.2
27.1,0.8922,891.7
27.2,0.8916,891.1
27.3,0.8911,890.6
27.4,0.8905,890.0
27.5,0.8899,889.4
27.6,0.8894,888.9
27.7,0.8888,888.3
27.8,0.8883,887.8
27.9,0.8877,887.2
28.0,0.8871,886.7
28.1,0.8866,886.1
28.2,0.886,885.5
28.3,0.8855,885.0
28.4,0.8849,884.4
28.5,0.8844,883.9
28.6,0.8838,883.3
28.7,0.8833,882.8
28.8,0.8827,882.2
28.9,0.8822,881.7
29.0,0.8816,881.1
29.1,0.8811,880.6
29.2,0.8805,880.0
29.3,0.88,879.5
29.4,0.8794,878.9
29.5,0.8789,878.4
29.6,0.8783,877.9
29.7,0.8778,877.3
29.8,0.8772,876.8
29.9,0.8767,876.2
30.0,0.8762,875.7
30.1,0.8756,875.1
30.2,0.8751,874.6
30.3,0.8745,874.1
30.4,0.874,873.5
30.5,0.8735,873.0
30.6,0.8729,872.4
30.7,0.8724,871.9
30.8,0.8718,871.4
30.9,0.8713,870.8
31.0,0.8708,870.3
31.1,0.8702,869.8
31.2,0.8697,869.2
31.3,0.8692,868.7
31.4,0.8686,868.2
31.5,0.8681,867.6
31.6,0.8676,867.1
31.7,0.867,866.6
31.8,0.8665,866.0
31.9,0.866,865.5
32.0,0.8654,865.0
32.1,0.8649,864.5
32.2,0.8644,863.9
32.3,0.8639,863.4
32.4,0.8633,862.9
32.5,0.8628,862.3
32.6,0.8623,861.8
32.7,0.8618,861.3
32.8,0.8612,860.8
32.9,0.8607,860.2
33.0,0.8602,859.7
33.1,0.8597,859.2
33.2,0.8591,858.7
33.3,0.8586,858.2
33.4,0.8581,857.6
33.5,0.8576,857.1
33.6,0.8571,856.6
33.7,0.8565,856.1
33.8,0.856,855.6
33.9,0.8555,855.0
34.0,0.855,854.5
34.1,0.8545,854.0
34.2,0.854,853.5
34.3,0.8534,853.0
34.4,0.8529,852.5
34.5,0.8524,852.0
34.6,0.8519,851.4
34.7,0.8514,850.9
34.8,0.8509,850.4
34.9,0.8504,849.9
35.0,0.8498,849.4
35.1,0.8493,848.9
35.2,0.8488,848.4
35.3,0.8483,847.9
35.4,0.8478,847.4
35.5,0.8473,846.9
35.6,0.8468,846.4
35.7,0.8463,845.8
35.8,0.8458,845.3
35.9,0.8453,844.8
36.0,0.8448,844.3
36.1,0.8443,843.8
36.2,0.8438,843.3
36.3,0.8433,842.8
36.4,0.8428,842.3
36.5,0.8423,841.8
36.6,0.8418,841.3
36.7,0.8413,840.8
36.8,0.8408,840.3
36.9,0.8403,839.8
37.0,0.8398,839.3
37.1,0.8393,838.8
37.2,0.8388,838.3
37.3,0.8383,837.8
37.4,0.8378,837.3
37.5,0.8373,836.8
37.6,0.8368,836.4
37.7,0.8363,835.9
37.8,0.8358,835.4
37.9,0.8353,834.9
38.0,0.8348,834.4
38.1,0.8343,833.9
38.2,0.8338,833.4
38.3,0.8333,832.9
38.4,0.8328,832.4
38.5,0.8324,831.9
38.6,0.8319,831.4
38.7,0.8314,831.0
38.8,0.8309,830.5
38.9,0.8304,830.0
39.0,0.8299,829.5
39.1,0.8294,829.0
39.2,0.8289,828.5
39.3,0.8285,828.0
39.4,0.828,827.6
39.5,0.8275,827.1
39.6,0.827,826.6
39.7,0.8265,826.1
39.8,0.826,825.6
39.9,0.8256,825.1
40.0,0.8251,824.7
40.1,0.8246,824.2
40.2,0.8241,823.7
40.3,0.8236,823.2
40.4,0.8232,822.7
40.5,0.8227,822.3
40.6,0.8222,821.8
40.7,0.8217,821.3
40.8,0.8212,820.8
40.9,0.8208,820.4
41.0,0.8203,819.9
41.1,0.8198,819.4
41.2,0.8193,818.9
41.3,0.8189,818.5
41.4,0.8184,818.0
41.5,0.8179,817.5
41.6,0.8174,817.0
41.7,0.817,816.6
41.8,0.8165,816.1
41.9,0.816,815.6
42.0,0.8156,815.2
42.1,0.8151,814.7
42.2,0.8146,814.2
42.3,0.8142,813.8
42.4,0.8137,813.3
42.5,0.8132,812.8
42.6,0.8128,812.4
42.7,0.8123,811.9
42.8,0.8118,811.4
42.9,0.8114,811.0
43.0,0.8109,810.5
43.1,0.8104,810.0
43.2,0.81,809.6
43.3,0.8095,809.1
43.4,0.809,808.6
43.5,0.8086,808.2
43.6,0.8081,807.7
43.7,0.8076,807.3
43.8,0.8072,806.8
43.9,0.8067,806.3
44.0,0.8063,805.9
44.1,0.8058,805.4
44.2,0.8054,805.0
44.3,0.8049,804.5
44.4,0.8044,804.1
44.5,0.804,803.6
44.6,0.8035,803.1
44.7,0.8031,802.7
44.8,0.8026,802.2
44.9,0.8022,801.8
45.0,0.8017,801.3
45.1,0.8012,800.9
45.2,0.8008,800.4
45.3,0.8003,800.0
45.4,0.7999,799.5
45.5,0.7994,799.1
45.6,0.799,798.6
45.7,0.7985,798.2
45.8,0.7981,797.7
45.9,0.7976,797.3
46.0,0.7972,796.8
46.1,0.7967,796.4
46.2,0.7963,795.9
46.3,0.7958,795.5
46.4,0.7954,795.0
46.5,0.7949,794.6
46.6,0.7945,794.1
46.7,0.7941,793.7
46.8,0.7936,793.2
46.9,0.7932,792.8
47.0,0.7927,792.4
47.1,0.7923,791.9
47.2,0.7918,791.5
47.3,0.7914,791.0
47.4,0.7909,790.6
47.5,0.7905,790.1
47.6,0.7901,789.7
47.7,0.7896,789.3
47.8,0.7892,788.8
47.9,0.7887,788.4
48.0,0.7883,787.9
48.1,0.7879,787.5
48.2,0.7874,787.1
48.3,0.787,786.6
48.4,0.7865,786.2
48.5,0.7861,785.8
48.6,0.7857,785.3
48.7,0.7852,784.9
48.8,0.7848,784.5
48.9,0.7844,784.0
49.0,0.7839,783.6
49.1,0.7835,783.2
49.2,0.7831,782.7
49.3,0.7826,782.3
49.4,0.7822,781.9
49.5,0.7818,781.4
49.6,0.7813,781.0
49.7,0.7809,780.6
49.8,0.7805,780.2
49.9,0.78,779.7
50.0,0.7796,779.3
50.1,0.7792,778.9
50.2,0.7788,778.4
50.3,0.7783,778.0
50.4,0.7779,777.6
50.5,0.7775,777.2
50.6,0.777,776.7
50.7,0.7766,776.3
50.8,0.7762,775.9
50.9,0.7758,775.5
51.0,0.7753,775.1
51.1,0.7749,774.6
51.2,0.7745,774.2
51.3,0.7741,773.8
51.4,0.7736,773.4
51.5,0.7732,772.9
51.6,0.7728,772.5
51.7,0.7724,772.1
51.8,0.772,771.7
51.9,0.7715,771.3
52.0,0.7711,770.8
52.1,0.7707,770.4
52.2,0.7703,770.0
52.3,0.7699,769.6
52.4,0.7694,769.2
52.5,0.769,768.8
52.6,0.7686,768.3
52.7,0.7682,767.9
52.8,0.7678,767.5
52.9,0.7674,767.1
53.0,0.7669,766.7
53.1,0.7665,766.3
53.2,0.7661,765.8
53.3,0.7657,765.4
53.4,0.7653,765.0
53.5,0.7649,764.6
53.6,0.7645,764.2
53.7,0.764,763.8
53.8,0.7636,763.4
53.9,0.7632,763.0
54.0,0.7628,762.5
54.1,0.7624,762.1
54.2,0.762,761.7
54.3,0.7616,761.3
54.4,0.7612,760.9
54.5,0.7608,760.5
54.6,0.7603,760.1
54.7,0.7599,759.7
54.8,0.7595,759.3
54.9,0.7591,758.9
55.0,0.7587,758.5
55.1,0.7583,758.1
55.2,0.7579,757.6
55.3,0.7575,757.2
55.4,0.7571,756.8
55.5,0.7567,756.4
55.6,0.7563,756.0
55.7,0.7559,755.6
55.8,0.7555,755.2
55.9,0.7551,754.8
56.0,0.7547,754.4
56.1,0.7543,754.0
56.2,0.7539,753.6
56.3,0.7535,753.2
56.4,0.7531,752.8
56.5,0.7527,752.4
56.6,0.7523,752.0
56.7,0.7519,751.6
56.8,0.7515,751.2
56.9,0.7511,750.8
57.0,0.7507,750.4
57.1,0.7503,750.0
57.2,0.7499,749.6
57.3,0.7495,749.2
57.4,0.7491,748.8
57.5,0.7487,748.4
57.6,0.7483,748.0
57.7,0.7479,747.6
57.8,0.7475,747.3
57.9,0.7471,746.9
58.0,0.7467,746.5
58.1,0.7463,746.1
58.2,0.7459,745.7
58.3,0.7455,745.3
58.4,0.7451,744.9
58.5,0.7447,744.5
58.6,0.7443,744.1
58.7,0.744,743.7
58.8,0.7436,743.3
58.9,0.7432,742.9
59.0,0.7428,742.6
59.1,0.7424,742.2
59.2,0.742,741.8
59.3,0.7416,741.4
59.4,0.7412,741.0
59.5,0.7408,740.6
59.6,0.7405,740.2
59.7,0.7401,739.8
59.8,0.7397,739.4
59.9,0.7393,739.1
60.0,0.7389,738.7
60.1,0.7385,738.3
60.2,0.7381,737.9
60.3,0.7377,737.5
60.4,0.7374,737.1
60.5,0.737,736.8
60.6,0.7366,736.4
60.7,0.7362,736.0
60.8,0.7358,735.6
60.9,0.7354,735.2
61.0,0.7351,734.8
61.1,0.7347,734.5
61.2,0.7343,734.1
61.3,0.7339,733.7
61.4,0.7335,733.3
61.5,0.7332,732.9
61.6,0.7328,732.6
61.7,0.7324,732.2
61.8,0.732,731.8
61.9,0.7316,731.4
62.0,0.7313,731.1
62.1,0.7309,730.7
62.2,0.7305,730.3
62.3,0.7301,729.9
62.4,0.7298,729.5
62.5,0.7294,729.2
62.6,0.729,728.8
62.7,0.7286,728.4
62.8,0.7283,728.0
62.9,0.7279,727.7
63.0,0.7275,727.3
63.1,0.7271,726.9
63.2,0.7268,726.5
63.3,0.7264,726.2
63.4,0.726,725.8
63.5,0.7256,725.4
63.6,0.7253,725.1
63.7,0.7249,724.7
63.8,0.7245,724.3
63.9,0.7242,723.9
64.0,0.7238,723.6
64.1,0.7234,723.2
64.2,0.723,722.8
64.3,0.7227,722.5
64.4,0.7223,722.1
64.5,0.7219,721.7
64.6,0.7216,721.4
64.7,0.7212,721.0
64.8,0.7208,720.6
64.9,0.7205,720.3
65.0,0.7201,719.9
65.1,0.7197,719.5
65.2,0.7194,719.2
65.3,0.719,718.8
65.4,0.7186,718.4
65.5,0.7183,718.1
65.6,0.7179,717.7
65.7,0.7175,717.3
65.8,0.7172,717.0
65.9,0.7168,716.6
66.0,0.7165,716.3
66.1,0.7161,715.9
66.2,0.7157,715.5
66.3,0.7154,715.2
66.4,0.715,714.8
66.5,0.7146,714.5
66.6,0.7143,714.1
66.7,0.7139,713.7
66.8,0.7136,713.4
66.9,0.7132,713.0
67.0,0.7128,712.7
67.1,0.7125,712.3
67.2,0.7121,711.9
67.3,0.7118,711.6
67.4,0.7114,711.2
67.5,0.7111,710.9
67.6,0.7107,710.5
67.7,0.7103,710.2
67.8,0.71,709.8
67.9,0.7096,709.4
68.0,0.7093,709.1
68.1,0.7089,708.7
68.2,0.7086,708.4
68.3,0.7082,708.0
68.4,0.7079,707.7
68.5,0.7075,707.3
68.6,0.7071,707.0
68.7,0.7068,706.6
68.8,0.7064,706.3
68.9,0.7061,705.9
69.0,0.7057,705.6
69.1,0.7054,705.2
69.2,0.705,704.9
69.3,0.7047,704.5
69.4,0.7043,704.2
69.5,0.704,703.8
69.6,0.7036,703.5
69.7,0.7033,703.1
69.8,0.7029,702.8
69.9,0.7026,702.4
70.0,0.7022,702.1
70.1,0.7019,701.7
70.2,0.7015,701.4
70.3,0.7012,701.0
70.4,0.7008,700.7
70.5,0.7005,700.3
70.6,0.7001,700.0
70.7,0.6998,699.6
70.8,0.6995,699.3
70.9,0.6991,698.9
71.0,0.6988,698.6
71.1,0.6984,698.2
71.2,0.6981,697.9
71.3,0.6977,697.6
71.4,0.6974,697.2
71.5,0.697,696.9
71.6,0.6967,696.5
71.7,0.6964,696.2
71.8,0.696,695.8
71.9,0.6957,695.5
72.0,0.6953,695.2
72.1,0.695,694.8
72.2,0.6946,694.5
72.3,0.6943,694.1
72.4,0.694,693.8
72.5,0.6936,693.5
72.6,0.6933,693.1
72.7,0.6929,692.8
72.8,0.6926,692.4
72.9,0.6923,692.1
73.0,0.6919,691.8
73.1,0.6916,691.4
73.2,0.6913,691.1
73.3,0.6909,690.8
73.4,0.6906,690.4
73.5,0.6902,690.1
73.6,0.6899,689.7
73.7,0.6896,689.4
73.8,0.6892,689.1
73.9,0.6889,688.7
74.0,0.6886,688.4
74.1,0.6882,688.1
74.2,0.6879,687.7
74.3,0.6876,687.4
74.4,0.6872,687.1
74.5,0.6869,686.7
74.6,0.6866,686.4
74.7,0.6862,686.1
74.8,0.6859,685.7
74.9,0.6856,685.4
75.0,0.6852,685.1
75.1,0.6849,684.7
75.2,0.6846,684.4
75.3,0.6842,684.1
75.4,0.6839,683.8
75.5,0.6836,683.4
75.6,0.6832,683.1
75.7,0.6829,682.8
75.8,0.6826,682.4
75.9,0.6823,682.1
76.0,0.6819,681.8
76.1,0.6816,681.5
76.2,0.6813,681.1
76.3,0.6809,680.8
76.4,0.6806,680.5
76.5,0.6803,680.1
76.6,0.68,679.8
76.7,0.6796,679.5
76.8,0.6793,679.2
76.9,0.679,678.8
77.0,0.6787,678.5
77.1,0.6783,678.2
77.2,0.678,677.9
77.3,0.6777,677.5
77.4,0.6774,677.2
77.5,0.677,676.9
77.6,0.6767,676.6
77.7,0.6764,676.2
77.8,0.6761,675.9
77.9,0.6757,675.6
78.0,0.6754,675.3
78.1,0.6751,675.0
78.2,0.6748,674.6
78.3,0.6745,674.3
78.4,0.6741,674.0
78.5,0.6738,673.7
78.6,0.6735,673.4
78.7,0.6732,673.0
78.8,0.6728,672.7
78.9,0.6725,672.4
79.0,0.6722,672.1
79.1,0.6719,671.8
79.2,0.6716,671.4
79.3,0.6713,671.1
79.4,0.6709,670.8
79.5,0.6706,670.5
79.6,0.6703,670.2
79.7,0.67,669.9
79.8,0.6697,669.5
79.9,0.6693,669.2
80.0,0.669,668.9
80.1,0.6687,668.6
80.2,0.6684,668.3
80.3,0.6681,668.0
80.4,0.6678,667.6
80.5,0.6675,667.3
80.6,0.6671,667.0
80.7,0.6668,666.7
80.8,0.6665,666.4
80.9,0.6662,666.1
81.0,0.6659,665.8
81.1,0.6656,665.4
81.2,0.6653,665.1
81.3,0.6649,664.8
81.4,0.6646,664.5
81.5,0.6643,664.2
81.6,0.664,663.9
81.7,0.6637,663.6
81.8,0.6634,663.3
81.9,0.6631,663.0
82.0,0.6628,662.6
82.1,0.6625,662.3
82.2,0.6621,662.0
82.3,0.6618,661.7
82.4,0.6615,661.4
82.5,0.6612,661.1
82.6,0.6609,660.8
82.7,0.6606,660.5
82.8,0.6603,660.2
82.9,0.66,659.9
83.0,0.6597,659.6
83.1,0.6594,659.3
83.2,0.6591,658.9
83.3,0.6588,658.6
83.4,0.6584,658.3
83.5,0.6581,658.0
83.6,0.6578,657.7
83.7,0.6575,657.4
83.8,0.6572,657.1
83.9,0.6569,656.8
84.0,0.6566,656.5
84.1,0.6563,656.2
84.2,0.656,655.9
84.3,0.6557,655.6
84.4,0.6554,655.3
84.5,0.6551,655.0
84.6,0.6548,654.7
84.7,0.6545,654.4
84.8,0.6542,654.1
84.9,0.6539,653.8
85.0,0.6536,653.5
