relative_density_60f,us_gallons_per_long_ton_60f,barrels_per_long_ton_60f
0.654,411.53,9.798
0.655,410.9,9.783
0.656,410.27,9.768
0.657,409.64,9.753
0.658,409.02,9.739
0.659,408.4,9.724
0.66,407.78,9.709
0.661,407.16,9.694
0.662,406.55,9.68
0.663,405.93,9.665
0.664,405.32,9.65
0.665,404.71,9.636
0.666,404.1,9.621
0.667,403.49,9.607
0.668,402.89,9.593
0.669,402.28,9.578
0.67,401.68,9.564
0.671,401.08,9.55
0.672,400.48,9.535
0.673,399.89,9.521
0.674,399.29,9.507
0.675,398.7,9.493
0.676,398.11,9.479
0.677,397.52,9.465
0.678,396.93,9.451
0.679,396.35,9.437
0.68,395.76,9.423
0.681,395.18,9.409
0.682,394.6,9.395
0.683,394.02,9.382
0.684,393.45,9.368
0.685,392.87,9.354
0.686,392.3,9.34
0.687,391.72,9.327
0.688,391.15,9.313
0.689,390.59,9.3
0.69,390.02,9.286
0.691,389.45,9.273
0.692,388.89,9.259
0.693,388.33,9.246
0.694,387.77,9.233
0.695,387.21,9.219
0.696,386.65,9.206
0.697,386.09,9.193
0.698,385.54,9.18
0.699,384.99,9.166
0.7,384.44,9.153
0.701,383.89,9.14
0.702,383.34,9.127
0.703,382.79,9.114
0.704,382.25,9.101
0.705,381.71,9.088
0.706,381.16,9.075
0.707,380.62,9.062
0.708,380.09,9.05
0.709,379.55,9.037
0.71,379.01,9.024
0.711,378.48,9.011
0.712,377.95,8.999
0.713,377.42,8.986
0.714,376.89,8.973
0.715,376.36,8.961
0.716,375.83,8.948
0.717,375.31,8.936
0.718,374.78,8.923
0.719,374.26,8.911
0.72,373.74,8.899
0.721,373.22,8.886
0.722,372.7,8.874
0.723,372.19,8.862
0.724,371.67,8.849
0.725,371.16,8.837
0.726,370.65,8.825
0.727,370.14,8.813
0.728,369.63,8.801
0.729,369.12,8.789
0.73,368.61,8.776
0.731,368.1,8.764
0.732,367.6,8.752
0.733,367.1,8.74
0.734,366.6,8.729
0.735,366.1,8.717
0.736,365.6,8.705
0.737,365.11,8.693
0.738,364.61,8.681
0.739,364.12,8.669
0.74,363.62,8.658
0.741,363.13,8.646
0.742,362.64,8.634
0.743,362.15,8.623
0.744,361.66,8.611
0.745,361.18,8.599
0.746,360.69,8.588
0.747,360.21,8.576
0.748,359.73,8.565
0.749,359.25,8.553
0.75,358.77,8.542
0.751,358.29,8.531
0.752,357.81,8.519
0.753,357.33,8.508
0.754,356.86,8.497
0.755,356.39,8.485
0.756,355.91,8.474
0.757,355.44,8.463
0.758,354.97,8.452
0.759,354.51,8.441
0.76,354.04,8.429
0.761,353.57,8.418
0.762,353.11,8.407
0.763,352.64,8.396
0.764,352.18,8.385
0.765,351.72,8.374
0.766,351.26,8.363
0.767,350.8,8.352
0.768,350.34,8.342
0.769,349.89,8.331
0.77,349.43,8.32
0.771,348.98,8.309
0.772,348.53,8.298
0.773,348.07,8.287
0.774,347.62,8.277
0.775,347.18,8.266
0.776,346.73,8.255
0.777,346.28,8.245
0.778,345.83,8.234
0.779,345.39,8.224
0.78,344.95,8.213
0.781,344.5,8.202
0.782,344.06,8.192
0.783,343.62,8.181
0.784,343.18,8.171
0.785,342.75,8.161
0.786,342.31,8.15
0.787,341.87,8.14
0.788,341.44,8.129
0.789,341.01,8.119
0.79,340.57,8.109
0.791,340.14,8.099
0.792,339.71,8.088
0.793,339.28,8.078
0.794,338.85,8.068
0.795,338.43,8.058
0.796,338.0,8.048
0.797,337.58,8.038
0.798,337.15,8.027
0.799,336.73,8.017
0.8,336.31,8.007
0.801,335.89,7.997
0.802,335.47,7.987
0.803,335.05,7.977
0.804,334.63,7.967
0.805,334.22,7.958
0.806,333.8,7.948
0.807,333.39,7.938
0.808,332.97,7.928
0.809,332.56,7.918
0.81,332.15,7.908
0.811,331.74,7.899
0.812,331.33,7.889
0.813,330.92,7.879
0.814,330.52,7.869
0.815,330.11,7.86
0.816,329.71,7.85
0.817,329.3,7.84
0.818,328.9,7.831
0.819,328.5,7.821
0.82,328.09,7.812
0.821,327.69,7.802
0.822,327.29,7.793
0.823,326.9,7.783
0.824,326.5,7.774
0.825,326.1,7.764
0.826,325.71,7.755
0.827,325.31,7.746
0.828,324.92,7.736
0.829,324.53,7.727
0.83,324.14,7.718
0.831,323.75,7.708
0.832,323.36,7.699
0.833,322.97,7.69
0.834,322.58,7.68
0.835,322.19,7.671
0.836,321.81,7.662
0.837,321.42,7.653
0.838,321.04,7.644
0.839,320.65,7.635
0.84,320.27,7.626
0.841,319.89,7.616
0.842,319.51,7.607
0.843,319.13,7.598
0.844,318.75,7.589
0.845,318.37,7.58
0.846,318.0,7.571
0.847,317.62,7.562
0.848,317.25,7.553
0.849,316.87,7.545
0.85,316.5,7.536
0.851,316.13,7.527
0.852,315.75,7.518
0.853,315.38,7.509
0.854,315.01,7.5
0.855,314.64,7.492
0.856,314.28,7.483
0.857,313.91,7.474
0.858,313.54,7.465
0.859,313.18,7.457
0.86,312.81,7.448
0.861,312.45,7.439
0.862,312.09,7.431
0.863,311.72,7.422
0.864,311.36,7.413
0.865,311.0,7.405
0.866,310.64,7.396
0.867,310.28,7.388
0.868,309.93,7.379
0.869,309.57,7.371
0.87,309.21,7.362
0.871,308.86,7.354
0.872,308.5,7.345
0.873,308.15,7.337
0.874,307.79,7.328
0.875,307.44,7.32
0.876,307.09,7.312
0.877,306.74,7.303
0.878,306.39,7.295
0.879,306.04,7.287
0.88,305.69,7.278
0.881,305.35,7.27
0.882,305.0,7.262
0.883,304.65,7.254
0.884,304.31,7.245
0.885,303.96,7.237
0.886,303.62,7.229
0.887,303.28,7.221
0.888,302.94,7.213
0.889,302.59,7.205
0.89,302.25,7.197
0.891,301.91,7.188
0.892,301.58,7.18
0.893,301.24,7.172
0.894,300.9,7.164
0.895,300.56,7.156
0.896,300.23,7.148
0.897,299.89,7.14
0.898,299.56,7.132
0.899,299.22,7.124
0.9,298.89,7.116
0.901,298.56,7.109
0.902,298.23,7.101
0.903,297.9,7.093
0.904,297.57,7.085
0.905,297.24,7.077
0.906,296.91,7.069
0.907,296.58,7.061
0.908,296.25,7.054
0.909,295.93,7.046
0.91,295.6,7.038
0.911,295.28,7.03
0.912,294.95,7.023
0.913,294.63,7.015
0.914,294.31,7.007
0.915,293.98,7.0
0.916,293.66,6.992
0.917,293.34,6.984
0.918,293.02,6.977
0.919,292.7,6.969
0.92,292.38,6.962
0.921,292.07,6.954
0.922,291.75,6.946
0.923,291.43,6.939
0.924,291.12,6.931
0.925,290.8,6.924
0.926,290.49,6.916
0.927,290.17,6.909
0.928,289.86,6.901
0.929,289.55,6.894
0.93,289.24,6.887
0.931,288.93,6.879
0.932,288.62,6.872
0.933,288.31,6.864
0.934,288.0,6.857
0.935,287.69,6.85
0.936,287.38,6.842
0.937,287.07,6.835
0.938,286.77,6.828
0.939,286.46,6.82
0.94,286.16,6.813
0.941,285.85,6.806
0.942,285.55,6.799
0.943,285.24,6.792
0.944,284.94,6.784
0.945,284.64,6.777
0.946,284.34,6.77
0.947,284.04,6.763
0.948,283.74,6.756
0.949,283.44,6.749
0.95,283.14,6.741
0.951,282.84,6.734
0.952,282.54,6.727
0.953,282.25,6.72
0.954,281.95,6.713
0.955,281.66,6.706
0.956,281.36,6.699
0.957,281.07,6.692
0.958,280.77,6.685
0.959,280.48,6.678
0.96,280.19,6.671
0.961,279.89,6.664
0.962,279.6,6.657
0.963,279.31,6.65
0.964,279.02,6.643
0.965,278.73,6.636
0.966,278.44,6.63
0.967,278.16,6.623
0.968,277.87,6.616
0.969,277.58,6.609
0.97,277.29,6.602
0.971,277.01,6.595
0.972,276.72,6.589
0.973,276.44,6.582
0.974,276.15,6.575
0.975,275.87,6.568
0.976,275.59,6.562
0.977,275.31,6.555
0.978,275.02,6.548
0.979,274.74,6.541
0.98,274.46,6.535
0.981,274.18,6.528
0.982,273.9,6.521
0.983,273.62,6.515
0.984,273.34,6.508
0.985,273.07,6.502
0.986,272.79,6.495
0.987,272.51,6.488
0.988,272.24,6.482
0.989,271.96,6.475
0.99,271.69,6.469
0.991,271.41,6.462
0.992,271.14,6.456
0.993,270.86,6.449
0.994,270.59,6.443
0.995,270.32,6.436
0.996,270.05,6.43
0.997,269.78,6.423
0.998,269.51,6.417
0.999,269.23,6.41
1.0,268.97,6.404
1.001,268.7,6.398
1.002,268.43,6.391
1.003,268.16,6.385
1.004,267.89,6.378
1.005,267.63,6.372
1.006,267.36,6.366
1.007,267.09,6.359
1.008,266.83,6.353
1.009,266.56,6.347
1.01,266.3,6.34
1.011,266.04,6.334
1.012,265.77,6.328
1.013,265.51,6.322
1.014,265.25,6.315
1.015,264.99,6.309
1.016,264.72,6.303
1.017,264.46,6.297
1.018,264.2,6.291
1.019,263.94,6.284
1.02,263.69,6.278
1.021,263.43,6.272
1.022,263.17,6.266
1.023,262.91,6.26
1.024,262.65,6.254
1.025,262.4,6.248
1.026,262.14,6.241
1.027,261.89,6.235
1.028,261.63,6.229
1.029,261.38,6.223
1.03,261.12,6.217
1.031,260.87,6.211
1.032,260.62,6.205
1.033,260.36,6.199
1.034,260.11,6.193
1.035,259.86,6.187
1.036,259.61,6.181
1.037,259.36,6.175
1.038,259.11,6.169
1.039,258.86,6.163
1.04,258.61,6.157
1.041,258.36,6.151
1.042,258.11,6.146
1.043,257.86,6.14
1.044,257.62,6.134
1.045,257.37,6.128
1.046,257.12,6.122
1.047,256.88,6.116
1.048,256.63,6.11
1.049,256.39,6.104
1.05,256.14,6.099
1.051,255.9,6.093
1.052,255.66,6.087
1.053,255.41,6.081
1.054,255.17,6.075
1.055,254.93,6.07
1.056,254.69,6.064
1.057,254.44,6.058
1.058,254.2,6.052
1.059,253.96,6.047
1.06,253.72,6.041
1.061,253.48,6.035
1.062,253.25,6.03
1.063,253.01,6.024
1.064,252.77,6.018
1.065,252.53,6.013
1.066,252.29,6.007
1.067,252.06,6.001
1.068,251.82,5.996
1.069,251.58,5.99
1.07,251.35,5.985
1.071,251.11,5.979
1.072,250.88,5.973
1.073,250.65,5.968
1.074,250.41,5.962
1.075,250.18,5.957
