api_gravity_60f,cubic_meters_per_short_ton_15c,cubic_meters_per_long_ton_15c
0.0,0.8445,0.9458
0.1,0.8451,0.9465
0.2,0.8457,0.9472
0.3,0.8464,0.9479
0.4,0.847,0.9487
0.5,0.8477,0.9494
0.6,0.8483,0.9501
0.7,0.849,0.9508
0.8,0.8496,0.9515
0.9,0.8502,0.9523
1.0,0.8509,0.953
1.1,0.8515,0.9537
1.2,0.8522,0.9544
1.3,0.8528,0.9551
1.4,0.8534,0.9559
1.5,0.8541,0.9566
1.6,0.8547,0.9573
1.7,0.8554,0.958
1.8,0.856,0.9587
1.9,0.8567,0.9595
2.0,0.8573,0.9602
2.1,0.8579,0.9609
2.2,0.8586,0.9616
2.3,0.8592,0.9623
2.4,0.8599,0.9631
2.5,0.8605,0.9638
2.6,0.8612,0.9645
2.7,0.8618,0.9652
2.8,0.8624,0.9659
2.9,0.8631,0.9667
3.0,0.8637,0.9674
3.1,0.8644,0.9681
3.2,0.865,0.9688
3.3,0.8657,0.9695
3.4,0.8663,0.9703
3.5,0.8669,0.971
3.6,0.8676,0.9717
3.7,0.8682,0.9724
3.8,0.8689,0.9731
3.9,0.8695,0.9739
4.0,0.8702,0.9746
4.1,0.8708,0.9753
4.2,0.8714,0.976
4.3,0.8721,0.9767
4.4,0.8727,0.9775
4.5,0.8734,0.9782
4.6,0.874,0.9789
4.7,0.8747,0.9796
4.8,0.8753,0.9803
4.9,0.8759,0.9811
5.0,0.8766,0.9818
5.1,0.8772,0.9825
5.2,0.8779,0.9832
5.3,0.8785,0.9839
5.4,0.8792,0.9847
5.5,0.8798,0.9854
5.6,0.8804,0.9861
5.7,0.8811,0.9868
5.8,0.8817,0.9875
5.9,0.8824,0.9883
6.0,0.883,0.989
6.1,0.8837,0.9897
6.2,0.8843,0.9904
6.3,0.8849,0.9911
6.4,0.8856,0.9919
6.5,0.8862,0.9926
6.6,0.8869,0.9933
6.7,0.8875,0.994
6.8,0.8882,0.9947
6.9,0.8888,0.9955
7.0,0.8894,0.9962
7.1,0.8901,0.9969
7.2,0.8907,0.9976
7.3,0.8914,0.9983
7.4,0.892,0.999
7.5,0.8927,0.9998
7.6,0.8933,1.0005
7.7,0.8939,1.0012
7.8,0.8946,1.0019
7.9,0.8952,1.0026
8.0,0.8959,1.0034
8.1,0.8965,1.0041
8.2,0.8971,1.0048
8.3,0.8978,1.0055
8.4,0.8984,1.0062
8.5,0.8991,1.007
8.6,0.8997,1.0077
8.7,0.9004,1.0084
8.8,0.901,1.0091
8.9,0.9016,1.0098
9.0,0.9023,1.0106
9.1,0.9029,1.0113
9.2,0.9036,1.012
9.3,0.9042,1.0127
9.4,0.9049,1.0134
9.5,0.9055,1.0142
9.6,0.9061,1.0149
9.7,0.9068,1.0156
9.8,0.9074,1.0163
9.9,0.9081,1.017
10.0,0.9087,1.0178
10.1,0.9094,1.0185
10.2,0.91,1.0192
10.3,0.9106,1.0199
10.4,0.9113,1.0206
10.5,0.9119,1.0214
10.6,0.9126,1.0221
10.7,0.9132,1.0228
10.8,0.9139,1.0235
10.9,0.9145,1.0242
11.0,0.9151,1.025
11.1,0.9158,1.0257
11.2,0.9164,1.0264
11.3,0.9171,1.0271
11.4,0.9177,1.0278
11.5,0.9184,1.0286
11.6,0.919,1.0293
11.7,0.9196,1.03
11.8,0.9203,1.0307
11.9,0.9209,1.0314
12.0,0.9216,1.0322
12.1,0.9222,1.0329
12.2,0.9229,1.0336
12.3,0.9235,1.0343
12.4,0.9241,1.035
12.5,0.9248,1.0358
12.6,0.9254,1.0365
12.7,0.9261,1.0372
12.8,0.9267,1.0379
12.9,0.9274,1.0386
13.0,0.928,1.0394
13.1,0.9286,1.0401
13.2,0.9293,1.0408
13.3,0.9299,1.0415
13.4,0.9306,1.0422
13.5,0.9312,1.043
13.6,0.9319,1.0437
13.7,0.9325,1.0444
13.8,0.9331,1.0451
13.9,0.9338,1.0458
14.0,0.9344,1.0466
14.1,0.9351,1.0473
14.2,0.9357,1.048
14.3,0.9364,1.0487
14.4,0.937,1.0494
14.5,0.9376,1.0502
14.6,0.9383,1.0509
14.7,0.9389,1.0516
14.8,0.9396,1.0523
14.9,0.9402,1.053
15.0,0.9409,1.0538
15.1,0.9415,1.0545
15.2,0.9421,1.0552
15.3,0.9428,1.0559
15.4,0.9434,1.0566
15.5,0.9441,1.0574
15.6,0.9447,1.0581
15.7,0.9454,1.0588
15.8,0.946,1.0595
15.9,0.9466,1.0602
16.0,0.9473,1.061
16.1,0.9479,1.0617
16.2,0.9486,1.0624
16.3,0.9492,1.0631
16.4,0.9499,1.0638
16.5,0.9505,1.0646
16.6,0.9511,1.0653
16.7,0.9518,1.066
16.8,0.9524,1.0667
16.9,0.9531,1.0674
17.0,0.9537,1.0682
17.1,0.9543,1.0689
17.2,0.955,1.0696
17.3,0.9556,1.0703
17.4,0.9563,1.071
17.5,0.9569,1.0718
17.6,0.9576,1.0725
17.7,0.9582,1.0732
17.8,0.9588,1.0739
17.9,0.9595,1.0746
18.0,0.9601,1.0753
18.1,0.9608,1.0761
18.2,0.9614,1.0768
18.3,0.9621,1.0775
18.4,0.9627,1.0782
18.5,0.9633,1.0789
18.6,0.964,1.0797
18.7,0.9646,1.0804
18.8,0.9653,1.0811
18.9,0.9659,1.0818
19.0,0.9666,1.0825
19.1,0.9672,1.0833
19.2,0.9678,1.084
19.3,0.9685,1.0847
19.4,0.9691,1.0854
19.5,0.9698,1.0861
19.6,0.9704,1.0869
19.7,0.9711,1.0876
19.8,0.9717,1.0883
19.9,0.9723,1.089
20.0,0.973,1.0897
20.1,0.9736,1.0905
20.2,0.9743,1.0912
20.3,0.9749,1.0919
20.4,0.9756,1.0926
20.5,0.9762,1.0933
20.6,0.9768,1.0941
20.7,0.9775,1.0948
20.8,0.9781,1.0955
20.9,0.9788,1.0962
21.0,0.9794,1.0969
21.1,0.9801,1.0977
21.2,0.9807,1.0984
21.3,0.9813,1.0991
21.4,0.982,1.0998
21.5,0.9826,1.1005
21.6,0.9833,1.1013
21.7,0.9839,1.102
21.8,0.9846,1.1027
21.9,0.9852,1.1034
22.0,0.9858,1.1041
22.1,0.9865,1.1049
22.2,0.9871,1.1056
22.3,0.9878,1.1063
22.4,0.9884,1.107
22.5,0.9891,1.1077
22.6,0.9897,1.1085
22.7,0.9903,1.1092
22.8,0.991,1.1099
22.9,0.9916,1.1106
23.0,0.9923,1.1113
23.1,0.9929,1.1121
23.2,0.9936,1.1128
23.3,0.9942,1.1135
23.4,0.9948,1.1142
23.5,0.9955,1.1149
23.6,0.9961,1.1157
23.7,0.9968,1.1164
23.8,0.9974,1.1171
23.9,0.9981,1.1178
24.0,0.9987,1.1185
24.1,0.9993,1.1193
24.2,1.0,1.12
24.3,1.0006,1.1207
24.4,1.0013,1.1214
24.5,1.0019,1.1221
24.6,1.0026,1.1229
24.7,1.0032,1.1236
24.8,1.0038,1.1243
24.9,1.0045,1.125
25.0,1.0051,1.1257
25.1,1.0058,1.1265
25.2,1.0064,1.1272
25.3,1.0071,1.1279
25.4,1.0077,1.1286
25.5,1.0083,1.1293
25.6,1.009,1.1301
25.7,1.0096,1.1308
25.8,1.0103,1.1315
25.9,1.0109,1.1322
26.0,1.0116,1.1329
26.1,1.0122,1.1337
26.2,1.0128,1.1344
26.3,1.0135,1.1351
26.4,1.0141,1.1358
26.5,1.0148,1.1365
26.6,1.0154,1.1373
26.7,1.0161,1.138
26.8,1.0167,1.1387
26.9,1.0173,1.1394
27.0,1.018,1.1401
27.1,1.0186,1.1409
27.2,1.0193,1.1416
27.3,1.0199,1.1423
27.4,1.0206,1.143
27.5,1.0212,1.1437
27.6,1.0218,1.1445
27.7,1.0225,1.1452
27.8,1.0231,1.1459
27.9,1.0238,1.1466
28.0,1.0244,1.1473
28.1,1.0251,1.1481
28.2,1.0257,1.1488
28.3,1.0263,1.1495
28.4,1.027,1.1502
28.5,1.0276,1.1509
28.6,1.0283,1.1517
28.7,1.0289,1.1524
28.8,1.0296,1.1531
28.9,1.0302,1.1538
29.0,1.0308,1.1545
29.1,1.0315,1.1553
29.2,1.0321,1.156
29.3,1.0328,1.1567
29.4,1.0334,1.1574
29.5,1.0341,1.1581
29.6,1.0347,1.1589
29.7,1.0353,1.1596
29.8,1.036,1.1603
29.9,1.0366,1.161
30.0,1.0373,1.1617
30.1,1.0379,1.1625
30.2,1.0386,1.1632
30.3,1.0392,1.1639
30.4,1.0398,1.1646
30.5,1.0405,1.1653
30.6,1.0411,1.1661
30.7,1.0418,1.1668
30.8,1.0424,1.1675
30.9,1.043,1.1682
31.0,1.0437,1.1689
31.1,1.0443,1.1697
31.2,1.045,1.1704
31.3,1.0456,1.1711
31.4,1.0463,1.1718
31.5,1.0469,1.1725
31.6,1.0475,1.1733
31.7,1.0482,1.174
31.8,1.0488,1.1747
31.9,1.0495,1.1754
32.0,1.0501,1.1761
32.1,1.0508,1.1769
32.2,1.0514,1.1776
32.3,1.052,1.1783
32.4,1.0527,1.179
32.5,1.0533,1.1797
32.6,1.054,1.1805
32.7,1.0546,1.1812
32.8,1.0553,1.1819
32.9,1.0559,1.1826
33.0,1.0565,1.1833
33.1,1.0572,1.1841
33.2,1.0578,1.1848
33.3,1.0585,1.1855
33.4,1.0591,1.1862
33.5,1.0598,1.1869
33.6,1.0604,1.1877
33.7,1.061,1.1884
33.8,1.0617,1.1891
33.9,1.0623,1.1898
34.0,1.063,1.1905
34.1,1.0636,1.1913
34.2,1.0643,1.192
34.3,1.0649,1.1927
34.4,1.0655,1.1934
34.5,1.0662,1.1941
34.6,1.0668,1.1949
34.7,1.0675,1.1956
34.8,1.0681,1.1963
34.9,1.0688,1.197
35.0,1.0694,1.1977
35.1,1.07,1.1985
35.2,1.0707,1.1992
35.3,1.0713,1.1999
35.4,1.072,1.2006
35.5,1.0726,1.2013
35.6,1.0733,1.2021
35.7,1.0739,1.2028
35.8,1.0745,1.2035
35.9,1.0752,1.2042
36.0,1.0758,1.2049
36.1,1.0765,1.2057
36.2,1.0771,1.2064
36.3,1.0778,1.2071
36.4,1.0784,1.2078
36.5,1.079,1.2085
36.6,1.0797,1.2093
36.7,1.0803,1.21
36.8,1.081,1.2107
36.9,1.0816,1.2114
37.0,1.0823,1.2121
37.1,1.0829,1.2129
37.2,1.0835,1.2136
37.3,1.0842,1.2143
37.4,1.0848,1.215
37.5,1.0855,1.2157
37.6,1.0861,1.2165
37.7,1.0868,1.2172
37.8,1.0874,1.2179
37.9,1.088,1.2186
38.0,1.0887,1.2193
38.1,1.0893,1.2201
38.2,1.09,1.2208
38.3,1.0906,1.2215
38.4,1.0913,1.2222
38.5,1.0919,1.2229
38.6,1.0925,1.2236
38.7,1.0932,1.2244
38.8,1.0938,1.2251
38.9,1.0945,1.2258
39.0,1.0951,1.2265
39.1,1.0958,1.2272
39.2,1.0964,1.228
39.3,1.097,1.2287
39.4,1.0977,1.2294
39.5,1.0983,1.2301
39.6,1.099,1.2308
39.7,1.0996,1.2316
39.8,1.1003,1.2323
39.9,1.1009,1.233
40.0,1.1015,1.2337
40.1,1.1022,1.2344
40.2,1.1028,1.2352
40.3,1.1035,1.2359
40.4,1.1041,1.2366
40.5,1.1048,1.2373
40.6,1.1054,1.238
40.7,1.106,1.2388
40.8,1.1067,1.2395
40.9,1.1073,1.2402
41.0,1.108,1.2409
41.1,1.1086,1.2416
41.2,1.1093,1.2424
41.3,1.1099,1.2431
41.4,1.1105,1.2438
41.5,1.1112,1.2445
41.6,1.1118,1.2452
41.7,1.1125,1.246
41.8,1.1131,1.2467
41.9,1.1138,1.2474
42.0,1.1144,1.2481
42.1,1.115,1.2488
42.2,1.1157,1.2496
42.3,1.1163,1.2503
42.4,1.117,1.251
42.5,1.1176,1.2517
42.6,1.1182,1.2524
42.7,1.1189,1.2532
42.8,1.1195,1.2539
42.9,1.1202,1.2546
43.0,1.1208,1.2553
43.1,1.1215,1.256
43.2,1.1221,1.2568
43.3,1.1227,1.2575
43.4,1.1234,1.2582
43.5,1.124,1.2589
43.6,1.1247,1.2596
43.7,1.1253,1.2604
43.8,1.126,1.2611
43.9,1.1266,1.2618
44.0,1.1272,1.2625
44.1,1.1279,1.2632
44.2,1.1285,1.264
44.3,1.1292,1.2647
44.4,1.1298,1.2654
44.5,1.1305,1.2661
44.6,1.1311,1.2668
44.7,1.1317,1.2676
44.8,1.1324,1.2683
44.9,1.133,1.269
45.0,1.1337,1.2697
45.1,1.1343,1.2704
45.2,1.135,1.2712
45.3,1.1356,1.2719
45.4,1.1362,1.2726
45.5,1.1369,1.2733
45.6,1.1375,1.274
45.7,1.1382,1.2748
45.8,1.1388,1.2755
45.9,1.1395,1.2762
46.0,1.1401,1.2769
46.1,1.1407,1.2776
46.2,1.1414,1.2783
46.3,1.142,1.2791
46.4,1.1427,1.2798
46.5,1.1433,1.2805
46.6,1.144,1.2812
46.7,1.1446,1.2819
46.8,1.1452,1.2827
46.9,1.1459,1.2834
47.0,1.1465,1.2841
47.1,1.1472,1.2848
47.2,1.1478,1.2855
47.3,1.1485,1.2863
47.4,1.1491,1.287
47.5,1.1497,1.2877
47.6,1.1504,1.2884
47.7,1.151,1.2891
47.8,1.1517,1.2899
47.9,1.1523,1.2906
48.0,1.153,1.2913
48.1,1.1536,1.292
48.2,1.1542,1.2927
48.3,1.1549,1.2935
48.4,1.1555,1.2942
48.5,1.1562,1.2949
48.6,1.1568,1.2956
48.7,1.1574,1.2963
48.8,1.1581,1.297
48.9,1.1587,1.2978
49.0,1.1594,1.2985
49.1,1.16,1.2992
49.2,1.1606,1.2999
49.3,1.1613,1.3006
49.4,1.1619,1.3013
49.5,1.1626,1.3021
49.6,1.1632,1.3028
49.7,1.1638,1.3035
49.8,1.1645,1.3042
49.9,1.1651,1.3049
50.0,1.1658,1.3056
50.1,1.1664,1.3064
50.2,1.167,1.3071
50.3,1.1677,1.3078
50.4,1.1683,1.3085
50.5,1.169,1.3092
50.6,1.1696,1.3099
50.7,1.1702,1.3107
50.8,1.1709,1.3114
50.9,1.1715,1.3121
51.0,1.1722,1.3128
51.1,1.1728,1.3135
51.2,1.1734,1.3142
51.3,1.1741,1.315
51.4,1.1747,1.3157
51.5,1.1754,1.3164
51.6,1.176,1.3171
51.7,1.1766,1.3178
51.8,1.1773,1.3185
51.9,1.1779,1.3193
52.0,1.1786,1.32
52.1,1.1792,1.3207
52.2,1.1798,1.3214
52.3,1.1805,1.3221
52.4,1.1811,1.3229
52.5,1.1818,1.3236
52.6,1.1824,1.3243
52.7,1.1831,1.325
52.8,1.1837,1.3257
52.9,1.1843,1.3265
53.0,1.185,1.3272
53.1,1.1856,1.3279
53.2,1.1863,1.3286
53.3,1.1869,1.3293
53.4,1.1876,1.3301
53.5,1.1882,1.3308
53.6,1.1888,1.3315
53.7,1.1895,1.3322
53.8,1.1901,1.3329
53.9,1.1908,1.3337
54.0,1.1914,1.3344
54.1,1.1921,1.3351
54.2,1.1927,1.3358
54.3,1.1933,1.3365
54.4,1.194,1.3373
54.5,1.1946,1.338
54.6,1.1953,1.3387
54.7,1.1959,1.3394
54.8,1.1966,1.3401
54.9,1.1972,1.3409
55.0,1.1978,1.3416
55.1,1.1985,1.3423
55.2,1.1991,1.343
55.3,1.1998,1.3437
55.4,1.2004,1.3445
55.5,1.201,1.3452
55.6,1.2017,1.3459
55.7,1.2023,1.3466
55.8,1.203,1.3473
55.9,1.2036,1.3481
56.0,1.2043,1.3488
56.1,1.2049,1.3495
56.2,1.2055,1.3502
56.3,1.2062,1.3509
56.4,1.2068,1.3517
56.5,1.2075,1.3524
56.6,1.2081,1.3531
56.7,1.2088,1.3538
56.8,1.2094,1.3545
56.9,1.21,1.3553
57.0,1.2107,1.356
57.1,1.2113,1.3567
57.2,1.212,1.3574
57.3,1.2126,1.3581
57.4,1.2133,1.3589
57.5,1.2139,1.3596
57.6,1.2145,1.3603
57.7,1.2152,1.361
57.8,1.2158,1.3617
57.9,1.2165,1.3625
58.0,1.2171,1.3632
58.1,1.2178,1.3639
58.2,1.2184,1.3646
58.3,1.219,1.3653
58.4,1.2197,1.366
58.5,1.2203,1.3668
58.6,1.221,1.3675
58.7,1.2216,1.3682
58.8,1.2223,1.3689
58.9,1.2229,1.3696
59.0,1.2235,1.3704
59.1,1.2242,1.3711
59.2,1.2248,1.3718
59.3,1.2255,1.3725
59.4,1.2261,1.3732
59.5,1.2268,1.374
59.6,1.2274,1.3747
59.7,1.228,1.3754
59.8,1.2286,1.3761
59.9,1.2293,1.3768
60.0,1.23,1.3776
60.1,1.2306,1.3783
60.2,1.2313,1.379
60.3,1.2319,1.3797
60.4,1.2325,1.3804
60.5,1.2332,1.3812
60.6,1.2338,1.3819
60.7,1.2345,1.3826
60.8,1.2351,1.3833
60.9,1.2358,1.384
61.0,1.2364,1.3848
61.1,1.237,1.3855
61.2,1.2377,1.3862
61.3,1.2383,1.3869
61.4,1.239,1.3876
61.5,1.2396,1.3884
61.6,1.2403,1.3891
61.7,1.2409,1.3898
61.8,1.2415,1.3905
61.9,1.2422,1.3912
62.0,1.2428,1.392
62.1,1.2435,1.3927
62.2,1.2441,1.3934
62.3,1.2448,1.3941
62.4,1.2454,1.3948
62.5,1.246,1.3956
62.6,1.2467,1.3963
62.7,1.2473,1.397
62.8,1.248,1.3977
62.9,1.2486,1.3984
63.0,1.2493,1.3992
63.1,1.2499,1.3999
63.2,1.2505,1.4006
63.3,1.2512,1.4013
63.4,1.2518,1.402
63.5,1.2525,1.4028
63.6,1.2531,1.4035
63.7,1.2537,1.4042
63.8,1.2544,1.4049
63.9,1.255,1.4056
64.0,1.2557,1.4064
64.1,1.2563,1.4071
64.2,1.257,1.4078
64.3,1.2576,1.4085
64.4,1.2582,1.4092
64.5,1.2589,1.41
64.6,1.2595,1.4107
64.7,1.2602,1.4114
64.8,1.2608,1.4121
64.9,1.2615,1.4128
65.0,1.2621,1.4136
65.1,1.2627,1.4143
65.2,1.2634,1.415
65.3,1.264,1.4157
65.4,1.2647,1.4164
65.5,1.2653,1.4172
65.6,1.266,1.4179
65.7,1.2666,1.4186
65.8,1.2672,1.4193
65.9,1.2679,1.42
66.0,1.2685,1.4208
66.1,1.2692,1.4215
66.2,1.2698,1.4222
66.3,1.2705,1.4229
66.4,1.2711,1.4236
66.5,1.2717,1.4244
66.6,1.2724,1.4251
66.7,1.273,1.4258
66.8,1.2737,1.4265
66.9,1.2743,1.4272
67.0,1.275,1.428
67.1,1.2756,1.4287
67.2,1.2762,1.4294
67.3,1.2769,1.4301
67.4,1.2775,1.4308
67.5,1.2782,1.4316
67.6,1.2788,1.4323
67.7,1.2795,1.433
67.8,1.2801,1.4337
67.9,1.2807,1.4344
68.0,1.2814,1.4352
68.1,1.282,1.4359
68.2,1.2827,1.4366
68.3,1.2833,1.4373
68.4,1.284,1.438
68.5,1.2846,1.4387
68.6,1.2852,1.4395
68.7,1.2859,1.4402
68.8,1.2865,1.4409
68.9,1.2872,1.4416
69.0,1.2878,1.4423
69.1,1.2885,1.4431
69.2,1.2891,1.4438
69.3,1.2897,1.4445
69.4,1.2904,1.4452
69.5,1.291,1.4459
69.6,1.2917,1.4467
69.7,1.2923,1.4474
69.8,1.293,1.4481
69.9,1.2936,1.4488
70.0,1.2942,1.4495
70.1,1.2949,1.4503
70.2,1.2955,1.451
70.3,1.2962,1.4517
70.4,1.2968,1.4524
70.5,1.2975,1.4531
70.6,1.2981,1.4539
70.7,1.2987,1.4546
70.8,1.2994,1.4553
70.9,1.3,1.456
71.0,1.3007,1.4567
71.1,1.3013,1.4575
71.2,1.302,1.4582
71.3,1.3026,1.4589
71.4,1.3032,1.4596
71.5,1.3039,1.4603
71.6,1.3045,1.4611
71.7,1.3052,1.4618
71.8,1.3058,1.4625
71.9,1.3064,1.4632
72.0,1.3071,1.4639
72.1,1.3077,1.4647
72.2,1.3084,1.4654
72.3,1.309,1.4661
72.4,1.3097,1.4668
72.5,1.3103,1.4675
72.6,1.3109,1.4683
72.7,1.3116,1.469
72.8,1.3122,1.4697
72.9,1.3129,1.4704
73.0,1.3135,1.4711
73.1,1.3142,1.4719
73.2,1.3148,1.4726
73.3,1.3154,1.4733
73.4,1.3161,1.474
73.5,1.3167,1.4747
73.6,1.3174,1.4755
73.7,1.318,1.4762
73.8,1.3187,1.4769
73.9,1.3193,1.4776
74.0,1.3199,1.4783
74.1,1.3205,1.4791
74.2,1.3212,1.4798
74.3,1.3219,1.4805
74.4,1.3225,1.4812
74.5,1.3232,1.4819
74.6,1.3238,1.4827
74.7,1.3244,1.4834
74.8,1.3251,1.4841
74.9,1.3257,1.4848
75.0,1.3264,1.4855
75.1,1.327,1.4863
75.2,1.3277,1.487
75.3,1.3283,1.4877
75.4,1.3289,1.4884
75.5,1.3296,1.4891
75.6,1.3302,1.4899
75.7,1.3309,1.4906
75.8,1.3315,1.4913
75.9,1.3322,1.492
76.0,1.3328,1.4927
76.1,1.3334,1.4935
76.2,1.3341,1.4942
76.3,1.3347,1.4949
76.4,1.3354,1.4956
76.5,1.336,1.4963
76.6,1.3367,1.4971
76.7,1.3373,1.4978
76.8,1.3379,1.4985
76.9,1.3386,1.4992
77.0,1.3392,1.4999
77.1,1.3399,1.5007
77.2,1.3405,1.5014
77.3,1.3412,1.5021
77.4,1.3418,1.5028
77.5,1.3424,1.5035
77.6,1.3431,1.5043
77.7,1.3437,1.505
77.8,1.3444,1.5057
77.9,1.345,1.5064
78.0,1.3457,1.5071
78.1,1.3463,1.5079
78.2,1.3469,1.5086
78.3,1.3476,1.5093
78.4,1.3482,1.51
78.5,1.3489,1.5107
78.6,1.3495,1.5115
78.7,1.3502,1.5122
78.8,1.3508,1.5129
78.9,1.3514,1.5136
79.0,1.3521,1.5143
79.1,1.3527,1.5151
79.2,1.3534,1.5158
79.3,1.354,1.5165
79.4,1.3547,1.5172
79.5,1.3553,1.5179
79.6,1.3559,1.5186
79.7,1.3566,1.5194
79.8,1.3572,1.5201
79.9,1.3579,1.5208
80.0,1.3585,1.5215
80.1,1.3592,1.5222
80.2,1.3598,1.523
80.3,1.3604,1.5237
80.4,1.3611,1.5244
80.5,1.3617,1.5251
80.6,1.3624,1.5258
80.7,1.363,1.5266
80.8,1.3636,1.5273
80.9,1.3643,1.528
81.0,1.3649,1.5287
81.1,1.3656,1.5294
81.2,1.3662,1.5302
81.3,1.3669,1.5309
81.4,1.3675,1.5316
81.5,1.3681,1.5323
81.6,1.3688,1.533
81.7,1.3694,1.5338
81.8,1.3701,1.5345
81.9,1.3707,1.5352
82.0,1.3714,1.5359
82.1,1.372,1.5366
82.2,1.3726,1.5374
82.3,1.3733,1.5381
82.4,1.3739,1.5388
82.5,1.3746,1.5395
82.6,1.3752,1.5402
82.7,1.3759,1.541
82.8,1.3765,1.5417
82.9,1.3771,1.5424
83.0,1.3778,1.5431
83.1,1.3784,1.5438
83.2,1.3791,1.5446
83.3,1.3797,1.5453
83.4,1.3804,1.546
83.5,1.381,1.5467
83.6,1.3816,1.5474
83.7,1.3823,1.5482
83.8,1.3829,1.5489
83.9,1.3836,1.5496
84.0,1.3842,1.5503
84.1,1.3849,1.551
84.2,1.3855,1.5518
84.3,1.3861,1.5525
84.4,1.3868,1.5532
84.5,1.3874,1.5539
84.6,1.3881,1.5546
84.7,1.3887,1.5554
84.8,1.3894,1.5561
84.9,1.39,1.5568
85.0,1.3906,1.5575
